1HP323.NF,1HP323,Aether Flare,1,NF,,C,1,,3,https://storage.googleapis.com/fabmaster/media/images/1HP323.width-450.png,Wizard,Action
ARC132.NF.1st,ARC132,Aether Flare,1,NF,1st,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC132.png,Wizard,Action
ARC132.RF.1st,ARC132,Aether Flare,1,RF,1st,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC132.png,Wizard,Action
ARC132.NF.Unl,ARC132,Aether Flare,1,NF,Unl,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC132.png,Wizard,Action
ARC132.RF.Unl,ARC132,Aether Flare,1,RF,Unl,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC132.png,Wizard,Action
1HP324.NF,1HP324,Aether Flare,2,NF,,C,1,,3,https://storage.googleapis.com/fabmaster/media/images/1HP324.width-450.png,Wizard,Action
ARC133.NF.1st,ARC133,Aether Flare,2,NF,1st,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC133.png,Wizard,Action
ARC133.RF.1st,ARC133,Aether Flare,2,RF,1st,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC133.png,Wizard,Action
ARC133.NF.Unl,ARC133,Aether Flare,2,NF,Unl,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC133.png,Wizard,Action
ARC133.RF.Unl,ARC133,Aether Flare,2,RF,Unl,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC133.png,Wizard,Action
1HP325.NF,1HP325,Aether Flare,3,NF,,C,1,,3,https://storage.googleapis.com/fabmaster/media/images/1HP325.width-450.png,Wizard,Action
ARC134.NF.1st,ARC134,Aether Flare,3,NF,1st,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC134.png,Wizard,Action
ARC134.RF.1st,ARC134,Aether Flare,3,RF,1st,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC134.png,Wizard,Action
ARC134.NF.Unl,ARC134,Aether Flare,3,NF,Unl,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC134.png,Wizard,Action
ARC134.RF.Unl,ARC134,Aether Flare,3,RF,Unl,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC134.png,Wizard,Action
UPR127.NF,UPR127,Aether Hail,1,NF,,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR127.png,Ice,Wizard,Action
UPR127.RF,UPR127,Aether Hail,1,RF,,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR127.png,Ice,Wizard,Action
UPR128.NF,UPR128,Aether Hail,2,NF,,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR128.png,Ice,Wizard,Action
UPR128.RF,UPR128,Aether Hail,2,RF,,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR128.png,Ice,Wizard,Action
UPR129.NF,UPR129,Aether Hail,3,NF,,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR129.png,Ice,Wizard,Action
UPR129.RF,UPR129,Aether Hail,3,RF,,C,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR129.png,Ice,Wizard,Action
UPR113.NF,UPR113,Aether Icevein,1,NF,,C,3,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR113.png,Elemental,Wizard,Action
UPR113.RF,UPR113,Aether Icevein,1,RF,,C,3,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR113.png,Elemental,Wizard,Action
UPR114.NF,UPR114,Aether Icevein,2,NF,,C,3,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR114.png,Elemental,Wizard,Action
UPR114.RF,UPR114,Aether Icevein,2,RF,,C,3,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR114.png,Elemental,Wizard,Action
UPR115.NF,UPR115,Aether Icevein,3,NF,,C,3,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR115.png,Elemental,Wizard,Action
UPR115.RF,UPR115,Aether Icevein,3,RF,,C,3,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR115.png,Elemental,Wizard,Action
CHN005.NF,CHN005,Aether Ironweave,,NF,,C,,,1,https://storage.googleapis.com/fabmaster/media/images/CHN005.width-450.png,Runeblade,Equipment,Chest
FAB149.GF,FAB149,Aether Ironweave,,GF,,P,,,1,https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB149.png,Runeblade,Equipment,Chest
MON230.NF.1st,MON230,Aether Ironweave,,NF,1st,C,,,1,https://storage.googleapis.com/fabmaster/media/images/MON230.width-450.png,Runeblade,Equipment,Chest
MON230.CF.1st,MON230,Aether Ironweave,,CF,1st,C,,,1,https://storage.googleapis.com/fabmaster/media/images/MON230.width-450.png,Runeblade,Equipment,Chest
MON230.NF.Unl,MON230,Aether Ironweave,,NF,Unl,C,,,1,https://storage.googleapis.com/fabmaster/media/images/U-MON230.width-450.png,Runeblade,Equipment,Chest
MON230.RF.Unl,MON230,Aether Ironweave,,RF,Unl,C,,,1,https://storage.googleapis.com/fabmaster/media/images/U-MON230.width-450.png,Runeblade,Equipment,Chest
DYN197.NF,DYN197,Aether Quickening,1,NF,,R,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN197.png,Wizard,Action
DYN197.RF,DYN197,Aether Quickening,1,RF,,R,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN197.png,Wizard,Action
FAB112.RF,FAB112,Aether Quickening,1,RF,,P,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB112.png,Wizard,Action
DYN198.NF,DYN198,Aether Quickening,2,NF,,R,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN198.png,Wizard,Action
DYN198.RF,DYN198,Aether Quickening,2,RF,,R,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN198.png,Wizard,Action
FAB113.RF,FAB113,Aether Quickening,2,RF,,P,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB113.png,Wizard,Action
DYN199.NF,DYN199,Aether Quickening,3,NF,,R,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN199.png,Wizard,Action
DYN199.RF,DYN199,Aether Quickening,3,RF,,R,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN199.png,Wizard,Action
FAB114.RF,FAB114,Aether Quickening,3,RF,,P,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB114.png,Wizard,Action
1HP199.NF,1HP199,Aether Sink,2,NF,,R,1,,,https://storage.googleapis.com/fabmaster/media/images/1HP199.width-450.png,Mechanologist,Action,Item
ARC017.NF.1st,ARC017,Aether Sink,2,NF,1st,R,1,,,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC017.png,Mechanologist,Action,Item
ARC017.RF.1st,ARC017,Aether Sink,2,RF,1st,R,1,,,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC017.png,Mechanologist,Action,Item
ARC017.NF.Unl,ARC017,Aether Sink,2,NF,Unl,R,1,,,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC017.png,Mechanologist,Action,Item
ARC017.RF.Unl,ARC017,Aether Sink,2,RF,Unl,R,1,,,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC017.png,Mechanologist,Action,Item
DYN182.NF,DYN182,Aether Slash,1,NF,,C,1,4,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN182.png,Runeblade,Action,Attack
DYN182.RF,DYN182,Aether Slash,1,RF,,C,1,4,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN182.png,Runeblade,Action,Attack
DYN183.NF,DYN183,Aether Slash,2,NF,,C,1,3,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN183.png,Runeblade,Action,Attack
DYN183.RF,DYN183,Aether Slash,2,RF,,C,1,3,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN183.png,Runeblade,Action,Attack
DYN184.NF,DYN184,Aether Slash,3,NF,,C,1,2,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN184.png,Runeblade,Action,Attack
DYN184.RF,DYN184,Aether Slash,3,RF,,C,1,2,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN184.png,Runeblade,Action,Attack
1HP314.NF,1HP314,Aether Spindle,1,NF,,R,2,,3,https://storage.googleapis.com/fabmaster/media/images/1HP314.width-450.png,Wizard,Action
ARC126.NF.1st,ARC126,Aether Spindle,1,NF,1st,R,2,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC126.png,Wizard,Action
ARC126.RF.1st,ARC126,Aether Spindle,1,RF,1st,R,2,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC126-RF.png,Wizard,Action
ARC126.NF.Unl,ARC126,Aether Spindle,1,NF,Unl,R,2,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC126.png,Wizard,Action
ARC126.RF.Unl,ARC126,Aether Spindle,1,RF,Unl,R,2,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC126.png,Wizard,Action
1HP315.NF,1HP315,Aether Spindle,2,NF,,R,2,,3,https://storage.googleapis.com/fabmaster/media/images/1HP315.width-450.png,Wizard,Action
ARC127.NF.1st,ARC127,Aether Spindle,2,NF,1st,R,2,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC127.png,Wizard,Action
ARC127.RF.1st,ARC127,Aether Spindle,2,RF,1st,R,2,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC127-RF.png,Wizard,Action
ARC127.NF.Unl,ARC127,Aether Spindle,2,NF,Unl,R,2,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC127.png,Wizard,Action
ARC127.RF.Unl,ARC127,Aether Spindle,2,RF,Unl,R,2,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC127.png,Wizard,Action
1HP316.NF,1HP316,Aether Spindle,3,NF,,R,2,,3,https://storage.googleapis.com/fabmaster/media/images/1HP316.width-450.png,Wizard,Action
ARC128.NF.1st,ARC128,Aether Spindle,3,NF,1st,R,2,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC128.png,Wizard,Action
ARC128.RF.1st,ARC128,Aether Spindle,3,RF,1st,R,2,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC128-RF.png,Wizard,Action
ARC128.NF.Unl,ARC128,Aether Spindle,3,NF,Unl,R,2,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC128.png,Wizard,Action
ARC128.RF.Unl,ARC128,Aether Spindle,3,RF,Unl,R,2,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC128.png,Wizard,Action
EVR123.NF.1st,EVR123,Aether Wildfire,1,NF,1st,M,2,,3,https://storage.googleapis.com/fabmaster/media/images/EVR123.width-450.png,Wizard,Action
EVR123.RF.1st,EVR123,Aether Wildfire,1,RF,1st,M,2,,3,https://storage.googleapis.com/fabmaster/media/images/EVR123.width-450.png,Wizard,Action
EVR123.RF.1st,EVR123,Aether Wildfire,1,RF,1st,M,2,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-EVR/EVR123-RF.png,Wizard,Action
CRU164.NF.1st,CRU164,Aetherize,3,NF,1st,M,1,,,https://storage.googleapis.com/fabmaster/cardfaces/2020-CRU/CRU164.png,Wizard,Instant
CRU164.RF.1st,CRU164,Aetherize,3,RF,1st,M,1,,,https://storage.googleapis.com/fabmaster/cardfaces/2020-CRU/CRU164-RF.png,Wizard,Instant
CRU164.NF.Unl,CRU164,Aetherize,3,NF,Unl,M,1,,,https://storage.googleapis.com/fabmaster/cardfaces/2021-U-CRU/U-CRU164.png,Wizard,Instant
CRU164.RF.Unl,CRU164,Aetherize,3,RF,Unl,M,1,,,https://storage.googleapis.com/fabmaster/cardfaces/2021-U-CRU/U-CRU164.png,Wizard,Instant
HVY240.NF,HVY240,Agility,,NF,,P,,,,,Generic,Token,Aura
DTD215.NF,DTD215,Alluring Inducement,2,NF,,M,2,2,2,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD215.png,Shapeshifter,Action,Attack
DTD215.RF,DTD215,Alluring Inducement,2,RF,,M,2,2,2,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD215.png,Shapeshifter,Action,Attack
FAB084.GF,FAB084,Alluvion Constellas,,GF,,P,,,0,https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB084.png,Wizard,Equipment,Chest
UPR166.RF,UPR166,Alluvion Constellas,,RF,,L,,,0,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR166.png,Wizard,Equipment,Chest
UPR166.CF,UPR166,Alluvion Constellas,,CF,,L,,,0,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR166.png,Wizard,Equipment,Chest
1HP010.NF,1HP010,Alpha Rampage,1,NF,,M,3,9,3,https://storage.googleapis.com/fabmaster/media/images/1HP010.width-450.png,Brute,Attack,Action
RVD008.NF,RVD008,Alpha Rampage,1,NF,,M,3,9,3,https://storage.googleapis.com/fabmaster/media/images/RVD008.width-450.png,Brute,Attack,Action
WTR006.NF.Alpha,WTR006,Alpha Rampage,1,NF,Alpha,M,3,9,3,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR006.png,Brute,Attack,Action
WTR006.RF.Alpha,WTR006,Alpha Rampage,1,RF,Alpha,M,3,9,3,https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR006.png,Brute,Attack,Action
WTR006.NF.Unl,WTR006,Alpha Rampage,1,NF,Unl,M,3,9,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR006.png,Brute,Attack,Action
WTR006.RF.Unl,WTR006,Alpha Rampage,1,RF,Unl,M,3,9,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR006.png,Brute,Attack,Action
EVO236.NF,EVO236,Already Dead,1,NF,,M,2,6,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO236.png,Assassin,Action,Attack
EVO236.RF,EVO236,Already Dead,1,RF,,M,2,6,3,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO236.png,Assassin,Action,Attack
DYN171.NF,DYN171,Amethyst Tiara,,NF,,M,,,1,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN171.png,Runeblade,Equipment,Head
DYN171.RF,DYN171,Amethyst Tiara,,RF,,M,,,1,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN171.png,Runeblade,Equipment,Head
DYN171.CF,DYN171,Amethyst Tiara,,CF,,V,,,1,https://storage.googleapis.com/fabmaster/cardfaces/2022-DYN/EN/DYN171_Marvel.png,Runeblade,Equipment,Head
OUT183.NF,OUT183,Amnesia,1,NF,,M,2,6,3,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT183.width-450.png,Generic,Action,Attack
OUT183.RF,OUT183,Amnesia,1,RF,,M,2,6,3,https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT183.width-450.png,Generic,Action,Attack
1HP282.NF,1HP282,Amplify the Arknight,1,NF,,C,3,6,3,https://storage.googleapis.com/fabmaster/media/images/1HP282.width-450.png,Runeblade,Action,Attack
ARC094.NF.1st,ARC094,Amplify the Arknight,1,NF,1st,C,3,6,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC094.png,Runeblade,Action,Attack
ARC094.RF.1st,ARC094,Amplify the Arknight,1,RF,1st,C,3,6,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC094.png,Runeblade,Action,Attack
ARC094.NF.Unl,ARC094,Amplify the Arknight,1,NF,Unl,C,3,6,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC094.png,Runeblade,Action,Attack
ARC094.RF.Unl,ARC094,Amplify the Arknight,1,RF,Unl,C,3,6,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC094.png,Runeblade,Action,Attack
1HP283.NF,1HP283,Amplify the Arknight,2,NF,,C,3,5,3,https://storage.googleapis.com/fabmaster/media/images/1HP283.width-450.png,Runeblade,Action,Attack
ARC095.NF.1st,ARC095,Amplify the Arknight,2,NF,1st,C,3,5,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC095.png,Runeblade,Action,Attack
ARC095.RF.1st,ARC095,Amplify the Arknight,2,RF,1st,C,3,5,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC095.png,Runeblade,Action,Attack
ARC095.NF.Unl,ARC095,Amplify the Arknight,2,NF,Unl,C,3,5,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC095.png,Runeblade,Action,Attack
ARC095.RF.Unl,ARC095,Amplify the Arknight,2,RF,Unl,C,3,5,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC095.png,Runeblade,Action,Attack
1HP284.NF,1HP284,Amplify the Arknight,3,NF,,C,3,4,3,https://storage.googleapis.com/fabmaster/media/images/1HP284.width-450.png,Runeblade,Action,Attack
ARC096.NF.1st,ARC096,Amplify the Arknight,3,NF,1st,C,3,4,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC096.png,Runeblade,Action,Attack
